,Date/Time,Lat,Lon,Base
798096,05/11/2014 22:15,40.7193,-73.9584,B02598
798097,05/11/2014 22:15,40.7293,-73.8005,B02598
798098,05/11/2014 22:15,40.7305,-73.9949,B02682
798099,05/11/2014 22:15,40.7404,-74.0056,B02682
798100,05/11/2014 22:15,40.7405,-74.0057,B02682
798101,05/11/2014 22:15,40.7533,-73.9112,B02617
798102,05/11/2014 22:15,40.7573,-73.9839,B02682
798103,05/11/2014 22:15,40.7683,-73.8625,B02598
798104,05/11/2014 22:15,40.8217,-73.9576,B02617
798105,05/11/2014 22:16,40.6457,-73.7768,B02598
798106,05/11/2014 22:16,40.7274,-74.0308,B02598
798107,05/11/2014 22:16,40.743,-74.0076,B02682
798108,05/11/2014 22:16,40.7482,-73.9885,B02598
798109,05/11/2014 22:16,40.7483,-73.9569,B02598
798110,05/11/2014 22:16,40.7552,-73.9734,B02598
798111,05/11/2014 22:16,40.7642,-73.9203,B02617
798112,05/11/2014 22:16,40.7785,-73.9818,B02617
798113,05/11/2014 22:16,40.781,-74.0416,B02598
798114,05/11/2014 22:16,40.8633,-73.9291,B02682
798115,05/11/2014 22:17,40.6442,-73.7822,B02682
798116,05/11/2014 22:17,40.7019,-73.9897,B02598
798117,05/11/2014 22:17,40.7196,-73.9562,B02682
798118,05/11/2014 22:17,40.7482,-73.9567,B02598
798119,05/11/2014 22:17,40.7741,-73.8724,B02598
798120,05/11/2014 22:17,40.7741,-73.873,B02598
798121,05/11/2014 22:17,40.7806,-73.9764,B02682
798122,05/11/2014 22:18,40.6565,-73.8075,B02598
798123,05/11/2014 22:18,40.7203,-73.9918,B02598
798124,05/11/2014 22:18,40.7499,-73.9719,B02598
798125,05/11/2014 22:18,40.7553,-74.0028,B02598
798126,05/11/2014 22:18,40.7624,-73.9961,B02682
798127,05/11/2014 22:19,40.6449,-73.7821,B02598
798128,05/11/2014 22:19,40.6878,-74.1818,B02512
798129,05/11/2014 22:19,40.7066,-74.0152,B02598
798130,05/11/2014 22:19,40.7409,-74.0051,B02598
798131,05/11/2014 22:19,40.7554,-73.9874,B02598
798132,05/11/2014 22:19,40.7599,-73.9741,B02598
798133,05/11/2014 22:20,40.6449,-73.782,B02617
798134,05/11/2014 22:20,40.6464,-73.7898,B02617
798135,05/11/2014 22:20,40.6681,-73.9512,B02682
798136,05/11/2014 22:20,40.6716,-73.9549,B02682
798137,05/11/2014 22:20,40.69,-73.963,B02682
798138,05/11/2014 22:20,40.7147,-73.9504,B02682
798139,05/11/2014 22:20,40.7217,-73.989,B02598
798140,05/11/2014 22:20,40.7351,-73.986,B02617
798141,05/11/2014 22:20,40.741,-73.9925,B02617
798142,05/11/2014 22:20,40.7724,-73.9558,B02682
798143,05/11/2014 22:20,40.7741,-73.8725,B02598
798144,05/11/2014 22:21,40.6437,-73.7899,B02617
798145,05/11/2014 22:21,40.7225,-73.9861,B02598
798146,05/11/2014 22:21,40.7254,-73.999,B02682
798147,05/11/2014 22:21,40.73,-74.002,B02682
798148,05/11/2014 22:21,40.7439,-74.0082,B02617
798149,05/11/2014 22:21,40.7439,-74.0082,B02617
798150,05/11/2014 22:21,40.7449,-73.9798,B02617
798151,05/11/2014 22:21,40.759,-73.9141,B02598
798152,05/11/2014 22:21,40.7647,-73.9727,B02598
798153,05/11/2014 22:21,40.7648,-73.9766,B02617
798154,05/11/2014 22:21,40.7648,-73.9766,B02617
798155,05/11/2014 22:22,40.6484,-73.7832,B02682
798156,05/11/2014 22:22,40.6878,-74.1815,B02598
798157,05/11/2014 22:22,40.6922,-73.9676,B02598
798158,05/11/2014 22:22,40.7055,-73.9228,B02598
798159,05/11/2014 22:22,40.708,-74.0099,B02598
798160,05/11/2014 22:22,40.7192,-74.0069,B02598
798161,05/11/2014 22:22,40.754,-73.9353,B02598
798162,05/11/2014 22:22,40.766,-73.9769,B02598
798163,05/11/2014 22:23,40.7164,-74.0097,B02617
798164,05/11/2014 22:23,40.7179,-73.9896,B02598
798165,05/11/2014 22:23,40.7215,-74.0111,B02598
798166,05/11/2014 22:23,40.7597,-73.9779,B02682
798167,05/11/2014 22:23,40.7601,-73.9712,B02598
798168,05/11/2014 22:24,40.6879,-74.1826,B02682
798169,05/11/2014 22:24,40.7183,-73.996,B02682
798170,05/11/2014 22:24,40.7218,-73.9976,B02682
798171,05/11/2014 22:24,40.7338,-74.0014,B02598
798172,05/11/2014 22:24,40.7489,-73.9921,B02598
798173,05/11/2014 22:24,40.762,-73.9747,B02598
798174,05/11/2014 22:24,40.7633,-73.9739,B02598
798175,05/11/2014 22:25,40.6901,-74.1863,B02598
798176,05/11/2014 22:25,40.6901,-74.1863,B02598
798177,05/11/2014 22:25,40.7075,-74.0006,B02598
798178,05/11/2014 22:25,40.7078,-74.007,B02598
798179,05/11/2014 22:25,40.7239,-73.9823,B02598
798180,05/11/2014 22:25,40.7634,-73.968,B02598
798181,05/11/2014 22:26,40.6834,-73.9791,B02598
798182,05/11/2014 22:26,40.7387,-73.9956,B02617
798183,05/11/2014 22:26,40.7593,-73.9851,B02617
798184,05/11/2014 22:26,40.7741,-73.8721,B02682
798185,05/11/2014 22:26,40.7899,-73.948,B02682
798186,05/11/2014 22:27,40.6485,-73.7837,B02598
798187,05/11/2014 22:27,40.6795,-74.0118,B02598
798188,05/11/2014 22:27,40.7262,-73.9929,B02682
798189,05/11/2014 22:27,40.7326,-74.0033,B02682
798190,05/11/2014 22:27,40.7357,-74.0024,B02682
798191,05/11/2014 22:27,40.7475,-73.9969,B02598
798192,05/11/2014 22:27,40.7635,-73.9741,B02598
798193,05/11/2014 22:27,40.8141,-73.9595,B02682
798194,05/11/2014 22:28,40.6281,-74.0293,B02682
798195,05/11/2014 22:28,40.647,-73.7893,B02598
798196,05/11/2014 22:28,40.6524,-73.9541,B02617
798197,05/11/2014 22:28,40.7156,-74.0094,B02598
798198,05/11/2014 22:28,40.7191,-74.0088,B02598
798199,05/11/2014 22:28,40.732,-73.9997,B02682
798200,05/11/2014 22:28,40.7593,-73.979,B02682
798201,05/11/2014 22:28,40.8864,-73.9058,B02598
798202,05/11/2014 22:29,40.664,-73.7708,B02598
798203,05/11/2014 22:29,40.6808,-73.9775,B02682
798204,05/11/2014 22:29,40.7061,-74.0097,B02764
798205,05/11/2014 22:29,40.7352,-73.9959,B02617
798206,05/11/2014 22:29,40.7653,-73.9696,B02598
798207,05/11/2014 22:29,40.8324,-73.9106,B02598
798208,05/11/2014 22:30,40.7739,-73.8725,B02512
798209,05/11/2014 22:30,40.7852,-73.9484,B02682
798210,05/11/2014 22:31,40.6465,-73.7895,B02682
798211,05/11/2014 22:31,40.7169,-74.0091,B02682
798212,05/11/2014 22:31,40.7252,-73.9779,B02682
798213,05/11/2014 22:31,40.74,-74.0061,B02682
798214,05/11/2014 22:31,40.7401,-74.0074,B02598
798215,05/11/2014 22:31,40.7739,-73.8725,B02512
798216,05/11/2014 22:32,40.6674,-73.9617,B02617
798217,05/11/2014 22:32,40.7108,-73.9448,B02512
798218,05/11/2014 22:32,40.7132,-73.9403,B02682
798219,05/11/2014 22:32,40.7555,-73.9817,B02682
798220,05/11/2014 22:32,40.8867,-73.8782,B02598
798221,05/11/2014 22:33,40.6457,-73.7768,B02682
798222,05/11/2014 22:33,40.6809,-73.9806,B02617
798223,05/11/2014 22:33,40.6853,-73.9869,B02598
